id,name,value
__export__.fal_ref_data_V72-025-020-KV-ET-M12,V72-025-020-KV-ET-M12,VBL-025-L1-ET-KV-M12-A_020-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-020-KV-IT-M01,V72-025-020-KV-IT-M01,VBL-025-L1-IT-KV-M01-A_020-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-020-KV-IT-M02,V72-025-020-KV-IT-M02,VBL-025-L1-IT-KV-M02-A_020-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-020-KV-IT-M03,V72-025-020-KV-IT-M03,VBL-025-L1-IT-KV-M03-A_020-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-020-KV-IT-M04,V72-025-020-KV-IT-M04,VBL-025-L1-IT-KV-M04-A_020-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-020-KV-IT-M05,V72-025-020-KV-IT-M05,VBL-025-L1-IT-KV-M05-A_020-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-020-KV-IT-M06,V72-025-020-KV-IT-M06,VBL-025-L1-IT-KV-M06-A_020-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-020-KV-IT-M07,V72-025-020-KV-IT-M07,VBL-025-L1-IT-KV-M07-A_020-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-020-KV-IT-M08,V72-025-020-KV-IT-M08,VBL-025-L1-IT-KV-M08-A_020-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-020-KV-IT-M09,V72-025-020-KV-IT-M09,VBL-025-L1-IT-KV-M09-A_020-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-020-KV-IT-M10,V72-025-020-KV-IT-M10,VBL-025-L1-IT-KV-M10-A_020-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-020-KV-IT-M11,V72-025-020-KV-IT-M11,VBL-025-L1-IT-KV-M11-A_020-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-020-KV-IT-M12,V72-025-020-KV-IT-M12,VBL-025-L1-IT-KV-M12-A_020-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-ET-M01,V72-025-030-KN-ET-M01,VBL-025-L1-ET-KN-M01-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-ET-M02,V72-025-030-KN-ET-M02,VBL-025-L1-ET-KN-M02-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-ET-M03,V72-025-030-KN-ET-M03,VBL-025-L1-ET-KN-M03-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
